,course_name,tags,Course Rating,Difficulty_Level,user_profile,Marks,Recommendation
2590,Creating Interactive Learning Videos with Edpuzzle,creat interact learn video with edpuzzlebeginnerstudenteduc project principl of learn interact learn english languag interact project mine flip gamif of learn onlin learn social-sci education4.829,4.8,Beginner,Student,29,"Enhance Student Learning through Kahoot,Learning to Teach Online,Get Interactive Practical Teaching with Technology,Learning Technologies Foundations and Applications,Lesson | Get Ready for the Interview,Lesson | Express Yourself Pronunciation"
2895,Performing Network Path and Text Analyses in SAS Visual Analytics,perform network path and text analys in sa visual analyticsadvancedstudentanalysi path variabl busi analyt text mine map analyt spss googl analyt data analysi network analysi data-sci data-analysis4.829,4.8,Advanced,Student,29,"Data Analysis and Reporting in SAS Visual Analytics,Getting Started with SAS Visual Analytics,Advanced Business Analytics Capstone,Communicating Business Analytics Results,Introduction to Data Analytics for Business,Creating Advanced Reports with SAS Visual Analytics"
3247,Paleontology Early Vertebrate Evolution,paleontolog earli vertebr evolutionbeginnerstudentzoolog biolog anatomi anim phylogenet fossil evolut tetrapod fish paleontolog life-sci basic-science4.829,4.8,Beginner,Student,29,"Paleontology Ancient Marine Reptiles,Paleontology Theropod Dinosaurs and the Origin of Birds,Dino 101 Dinosaur Paleobiology,Evolution A Course for Educators,Lactation Biology,Protists Evolution and Ecology of Microbial Eukaryotes"
1658,Career planning resume/CV cover letter interview,career plan resume/cv cover letter interviewbeginnerstudentjob attitud write career r&d manag motiv plan resum screen career develop english languag interview personal-develop personal-development4.828,4.8,Beginner,Student,28,"Successful Career Development,Networking and Volunteerism for Career Success,Career Planning A Pathway to Employment,Career planning Your career your life,Career Decisions From Insight to Impact,Career Brand Development and Self-Coaching"
1767,Supply chain management Be global,suppli chain manag be globaladvancedprofessionalsustain supplier select chain suppli chain strategi procur oper manag global leadership and manag suppli chain suppli chain manag busi business-strategy4.828,4.8,Advanced,Professional,28,"Supply Chain Management Strategy,Supply Chain Management A Learning Perspective,Supply Chain Principles,Operations Management Analysis and Improvement Methods,Supply Chain Logistics,Managing Supply Chain Disruption During COVID-19"
2189,Statistics with SAS,statist with sasadvancedprofessionaltwo-way analysi of varianc gener statist pro*c predict model transact log influenti observ regress student' t-test odd ratio p-valu data-sci data-analysis4.828,4.8,Advanced,Professional,28,"Linear Regression for Business Statistics,Introduction to Probability and Data with R,Mastering Data Analysis in Excel,Data Analysis Tools,Statistics with R Capstone,Exploratory Data Analysis"
2212,Getting Started with SAS Programming,get start with sa programmingbeginnerstudentsoftwar comput program languag portabl document format data analysi probabl densiti function gener statist sql analysi sa softwar data-sci data-analysis4.828,4.8,Beginner,Student,28,"Introduction to Probability and Data with R,Build Data Analysis tools using R and DPLYR,Reproducible Research,Reproducible Research,R Programming,R Programming"
2413,Mechanics of Materials IV Deflections Buckling Combined Loading & Failure Theories,mechan of materi iv deflect buckl combin load & failur theoriesconversantprofessionalmechan engin multipl integr failur analysi materi combin analysi structur analysi principl load screen failur physical-science-and-engin mechanical-engineering4.828,4.8,Conversant,Professional,28,"Machine Design Part I,Mechanics of Materials I Fundamentals of Stress & Strain and Axial Loading,Mechanics of Materials III Beam Bending,Mastering Statics,Introduction to Engineering Mechanics,Mechanics of Materials II Thin-Walled Pressure Vessels and Torsion"
2416,Convolutional Neural Networks,convolut neural networksbeginnerstudentobject detect tensorflow kera face recognit convolut facial artifici neural network comput vision human learn convolut neural network data-sci machine-learning4.828,4.8,Beginner,Student,28,"Convolutional Neural Networks in TensorFlow,Facial Expression Recognition with Keras,Introduction to Deep Learning & Neural Networks with Keras,Introduction to Deep Learning,Deep Neural Networks with PyTorch,Image Data Augmentation with Keras"
2453,The GRC Approach to Managing Cybersecurity,the grc approach to manag cybersecurityadvancedstudentisaca inform technolog secur audit inform technolog audit cisco keystrok log risk manag framework crime secur privaci methodolog information-technolog security4.828,4.8,Advanced,Student,28,"Information Systems Auditing Controls and Assurance,Managing Cybersecurity Incidents and Disasters,IT Infrastructure and Emerging Trends,Planning Auditing and Maintaining Enterprise Systems,Managing Network Security,The Foundations of Cybersecurity"
2608,Amazon DynamoDB Building NoSQL Database-Driven Applications,amazon dynamodb build nosql database-driven applicationsadvancedstudentnosql combin backup and restor sql databas user comput stream amazon dynamodb display devic amazon web servic information-technolog cloud-computing4.828,4.8,Advanced,Student,28,"AWS Fundamentals Going Cloud-Native,AWS Fundamentals Building Serverless Applications,Building Modern Java Applications on AWS,Create Your First NoSQL Database with MongoDB and Compass,AWS Fundamentals Addressing Security Risk,AWS Fundamentals Migrating to the Cloud"
3043,The Sustainable Development Goals � A global transdisciplinary vision for the future,the sustain develop goal � a global transdisciplinari vision for the futurebeginnerstudentclim chang problem solv awar thought econom global critic think sustain economi analysi social-sci governance-and-society4.828,4.8,Beginner,Student,28,"Espace mondial a French vision of Global studies,Beyond the Sustainable Development Goals (SDGs) Addressing Sustainability and Development,Global Arctic,Global Diplomacy the United Nations in the World,Sustainable Development in the 21st Century with Ban Ki-moon,Global Health and Humanitarianism"
3087,Problem-Solving Skills for University Success,problem-solv skill for univers successbeginnerstudentdisposit i-dea audienc lesson plan employ problem solv problem solv method strategi academ write number spreadsheet social-sci education4.828,4.8,Beginner,Student,28,"Methods for Solving Problems,Creative Problem Solving,Problem Solving Using Computational Thinking,Effective Problem-Solving and Decision-Making,Effective Problem-Solving and Decision-Making,Data and Health Indicators in Public Health Practice"
3388,English for Common Interactions in the Workplace Basic Level,english for common interact in the workplac basic levelconversantstudentenglish languag languag learn taxicab geometri commun languag teach schedul grammar fast interact language-learn learning-english4.828,4.8,Conversant,Student,28,"Lesson | Get Ready for the Interview,Tricky English Grammar,The Pronunciation of American English Project,Teach English Now! Second Language Reading Writing and Grammar,Teach English Now! Second Language Reading Writing and Grammar,Conjunctions Connectives and Adverb Clauses"
1860,Create a Financial Statement using Google Sheets,creat a financi statement use googl sheetsbeginnerprofessionalnumb spreadsheet analysi present financi statement budget balanc sheet receiv project financ busi analyt busi finance4.827,4.8,Beginner,Professional,27,"Understanding Financial Statements Company Performance,The Language and Tools of Financial Analysis,Accounting Principles of Financial Accounting,Financial Analysis for Startups,Financial Reporting Capstone,Advanced Financial Reporting Accounting for Business Combinations and Preparation of Consolidated Financial Statements"
1901,Supplier Management,supplier managementbeginnerprofessionalevalu suppli chain contract manag procur supplier evalu ethic strategi suppli chain analyt supplier manag leadership and manag busi leadership-and-management4.827,4.8,Beginner,Professional,27,"Supply chain management Be global,Procurement & Sourcing Introduction,Procurement Basics,Strategic Procurement and Sourcing Conclusions,Procurement Negotiation,Supply Chain Management Strategy"
2370,Sustainable Vikings Sustainability & Corporate Social Responsibility in Scandinavia,sustain vike sustain & corpor social respons in scandinaviaintermediateprofessionalcultur sustain industri democraci global corpor govern corpor bond leadership leadership and manag case studi corpor social respons busi leadership-and-management4.827,4.8,Intermediate,Professional,27,"Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Corporate Strategy,Global sustainability and corporate social responsibility Be sustainable,Managing Responsibly Practicing Sustainability Responsibility and Ethics,Professional Responsibility and Ethics for Accountants,New Models of Business in Society"
2459,Protecting Public Health in a Changing Climate A Primer for City Local and Regional Action,protect public health in a chang climat a primer for citi local and region actionintermediatestudentpubl health food secur water qualiti climat chang global strategi urban plan mental health risk transport life-sci public-health4.827,4.8,Intermediate,Student,27,"An Introduction to Global Health,Introduction to Climate Change and Health,Foundations for Global Health Responders,Global Health Security Solidarity and Sustainability through the International Health Regulations,Bats Ducks and Pandemics An Introduction to One Health Policy,Foundations of Public Health Practice The Public Health Approach"
2842,Introduction to Mechanical Engineering Design and Manufacturing with Fusion 360,introduct to mechan engin design and manufactur with fusion 360beginnerstudentmodel computer-aid design engin design 3d model autodesk manufactur process process manufactur process manag mechan design simul physical-science-and-engin mechanical-engineering4.827,4.8,Beginner,Student,27,"Engineering Design Process with Autodesk Fusion 360,CAM and Design Manufacturing for Mechanical Engineers with Autodesk Fusion 360,Manufacturing Process with Autodesk Fusion 360,Intro to Digital Manufacturing with Autodesk Fusion 360,Modeling and Design for Mechanical Engineers with Autodesk Fusion 360,Autodesk Fusion 360 Integrated CAD/CAM/CAE"
3252,Excel/VBA for Creative Problem Solving Part 2,excel/vba for creativ problem solv part 2advancedstudentmicrosoft excel macro microsoft excel vba array screencast macro comput scienc comput program visual basic comput program problem solv microsoft excel computer-sci algorithms4.827,4.8,Advanced,Student,27,"Excel/VBA for Creative Problem Solving Part 1,Excel/VBA for Creative Problem Solving Part 3 (Projects),Everyday Excel Part 1,Excel Skills for Business Intermediate II,Principles of Computing (Part 1),Introduction to Computer Programming"
1687,Introduction to battery-management systems,introduct to battery-manag systemsintermediateprofessionalexergi microgrid stoichiometri batteri manag system quantiz signal process age process electron leadership and manag electr vehicl energi physical-science-and-engin electrical-engineering4.826,4.8,Intermediate,Professional,26,"Equivalent Circuit Cell Model Simulation,Battery Pack Balancing and Power Estimation,Motors and Motor Control Circuits,Fundamentals of Management,Managing the Company of the Future,Financing and Initiating Major Engineering Projects"
1817,Aspectos b�sicos de la planificaci�n y la gesti�n de proyectos,aspecto b�sico de la planificaci�n y la gesti�n de proyectosintermediatestudentagil manag cmo project plan project manag leadership and manag scrum softwar develop plan microsoft project project plan project busi business-essentials4.826,4.8,Intermediate,Student,26,"Introduction to Project Management,Project Management Project,Initiating and Planning Projects,Initiating and Planning Projects,IT Project Management,Engineering Project Management Initiating and Planning"
2493,Security & Safety Challenges in a Globalized World,secur & safeti challeng in a global worldintermediatestudentterror criminolog intern relat safeti cultur secur wick problem secur manag emerg manag safeti leadership and manag social-sci governance-and-society4.826,4.8,Intermediate,Student,26,"International Security Management,Information Security Context and Introduction,The Business of Cybersecurity Capstone,Security Operations and Administration,Cybersecurity Policy for Aviation and Internet Infrastructures,Risk in Modern Society"
2701,Process Mining Data science in Action,process mine data scienc in actionbeginnerprofessionalprocess model busi process process mine process model net petri net conform check data mine algorithm data-sci data-analysis4.826,4.8,Beginner,Professional,26,"Data Science Methodology,Data Science Methodology,Framework for Data Collection and Analysis,Designing data-intensive applications,Pattern Discovery in Data Mining,What is Data Science?"
2762,Astronomy Exploring Time and Space,astronomi explor time and spacebeginnerprofessionalenergi solar system astronomi physic observ vers protocol theori of rel astrobiolog histori observ astronomi physical-science-and-engin physics-and-astronomy4.826,4.8,Beginner,Professional,26,"Astrobiology Exploring Other Worlds,Imagining Other Earths,Archaeoastronomy,The Evolving Universe,Analyzing the Universe,Big History - From the Big Bang until Today"
2779,Fundamentals of Fluid Power,fundament of fluid powerintermediatestudentflow network mechan engin power suppli comput fluid dynam hydraul hybrid vehicl manufactur valv simul simulink fluid mechan physical-science-and-engin mechanical-engineering4.826,4.8,Intermediate,Student,26,"Fundamentals of Fluid-Solid Interactions,Fundamentals of Engineering Exam Review,Fundamentals of Macroscopic and Microscopic Thermodynamics,Fundamentals of waves and vibrations,Quantum Mechanics,Rigid Body Dynamics"
1558,Basics of Extracellular Vesicles,basic of extracellular vesiclesintermediatestudentcel cultur bodi fluid nanoparticl biogenesi flow cytometri nanoparticl track analysi sampl prepar lipid nanoparticl protein life-sci basic-science4.825,4.8,Intermediate,Student,25,"Toxicology 21 Scientific Applications,General Pathophysiology,Evidence-based Toxicology,Network Analysis in Systems Biology,Bioinformatic Methods II,Fundamentals of Immunology T Cells and Signaling"
2359,Speaking to persuade Motivating audiences with solid arguments and moving language,speak to persuad motiv audienc with solid argument and move languageadvancedprofessionalvoic analysi public speak logo speech audienc imit languag thought persuas speech write personal-develop personal-development4.825,4.8,Advanced,Professional,25,"Speaking to Inspire Ceremonial and Motivational Speeches,Speaking to inform Discussing complex ideas with clear explanations and dynamic slides,Presentation skills Speechwriting and Storytelling,Presentation skills Effective Presentation Delivery,Ignite Your Everyday Creativity,Engaging in Persuasive and Credible Communication"
2588,Compare Inline Internal and External CSS,compar inlin intern and extern cssbeginnerprofessionalord pair css intern html display devic syntax web menu bar extern web page computer-sci mobile-and-web-development4.825,4.8,Beginner,Professional,25,"Position Elements on a Page with CSS,HTML and CSS Building a Single-Page Website,Style Tables with CSS,Style Images with CSS,Introduction to HTML5,Images and Links in HTML"
2616,Solar Energy Codes Permitting and Zoning,solar energi code permit and zoningintermediateprofessionalwind energi industri electr construct hvac engin energi physic electr construct architectur electr engin civil engin solar energi physical-science-and-engin environmental-science-and-sustainability4.825,4.8,Intermediate,Professional,25,"Solar Energy and Electrical System Design,Solar Energy Systems Overview,Photovoltaic solar energy,Solar Energy System Design,Energy The Enterprise,Silicon Thin Film Solar Cells"
2632,Introduction to Faecal Sludge Management,introduct to faecal sludg managementintermediateprofessionalengin design sewag innov transport leadership and manag engin manag sustain urban plan plan civil engin physical-science-and-engin environmental-science-and-sustainability4.825,4.8,Intermediate,Professional,25,"Planning & Design of Sanitation Systems and Technologies,Creativity Innovation and Transformation,Global Environmental Management,Wood Science Beyond Building,Introduction to Public Health Engineering in Humanitarian Contexts,Municipal Solid Waste Management in Developing Countries"
2643,Foundations of Health Equity Research,foundat of health equiti researchconversantprofessionalsoci determin of health health care bia social media platform social media secur research health system health equiti determin of health social epidemiolog life-sci public-health4.825,4.8,Conversant,Professional,25,"Application of Health Equity Research Methods for Practice and Policy,Health and healthcare in transition dilemmas of governance,Foundations of Public Health Practice The Public Health Approach,Foundations of Public Health Practice Behaviour & Behaviour Change,Health for All Through Primary Health Care,HI-FIVE Health Informatics For Innovation Value & Enrichment (Administrative/IT Perspective)"
1991,Managing the Company of the Future,manag the compani of the futurebeginnerstudentprocess strateg manag manag process leadership innov manag manag theori leadership and manag employ innov motiv busi leadership-and-management4.824,4.8,Beginner,Student,24,"Fundamentals of Management,Leadership in 21st Century Organizations,Applications of Everyday Leadership,Management Skills for International Business,Create Employee Management System with When I Work,Procurement Basics"
2033,Clinical Epidemiology,clinic epidemiologyintermediateprofessionalclin biostatist patient prognost clinic research clinic epidemiolog clinic studi design epidemiolog pharmacoepidemiolog model medicin life-sci basic-science4.824,4.8,Intermediate,Professional,24,"Design and Interpretation of Clinical Trials,Introduction to Translational Science,Drug Development,Faster Together Enhancing the Recruitment of Minorities in Clinical Trials,Data Management for Clinical Research,Epidemiology The Basic Science of Public Health"
2042,Strategic Procurement and Sourcing Conclusions,strateg procur and sourc conclusionsadvancedstudentplan procur categori manag purchas manag process analyt choic suppli chain gratitud supplier manag busi leadership-and-management4.824,4.8,Advanced,Student,24,"Procurement Negotiation,Procurement & Sourcing Introduction,Strategic Sourcing,Procurement Basics,Supplier Management,Fundamentals of Management"
2193,Systems and Application Security,system and applic securityadvancedprofessionalvirtu machin encrypt process privaci softwar malwar cloud comput leadership and manag secur cloud comput secur information-technolog security4.824,4.8,Advanced,Professional,24,"Introduction to Cloud Identity,Getting Started with Azure,Introduction to Cloud Computing,Mitigating Security Vulnerabilities on Google Cloud Platform,IBM Cybersecurity Analyst Assessment,AWS Fundamentals Addressing Security Risk"
2919,GIS Data Formats Design and Quality,gi data format design and qualityadvancedstudentarcgi geograph inform system analysi spatial analysi spatial data analysi data analysi gener statist data manag map leadership and manag physical-science-and-engin environmental-science-and-sustainability4.824,4.8,Advanced,Student,24,"Spatial Data Science and Applications,Fundamentals of GIS,Data Science in Real Life,Managing Data Analysis,Geospatial Analysis Project,Data Management and Visualization"
3002,Speaking to Inspire Ceremonial and Motivational Speeches,speak to inspir ceremoni and motiv speechesadvancedstudentprais essay write audienc write speech write public speak storytel .bit speech voic analysi personal-develop personal-development4.824,4.8,Advanced,Student,24,"Presentation skills Speechwriting and Storytelling,Speaking to persuade Motivating audiences with solid arguments and moving language,Writing and Editing Structure and Organization,Writing a Personal Essay,Speaking to inform Discussing complex ideas with clear explanations and dynamic slides,Introduction to Public Speaking"
3037,Think Again III How to Reason Inductively,think again iii how to reason inductivelyintermediatestudentabduct reason infer thought logic decis make financ correl and depend reason probabl causal personal-develop personal-development4.824,4.8,Intermediate,Student,24,"Think Again II How to Reason Deductively,Think Again I How to Understand Arguments,Think Again IV How to Avoid Fallacies,Introduction to Personal Branding,Achieving Your Optimal Performance,Engaging in Persuasive and Credible Communication"
3068,Healthcare Entrepreneurship Taking Ideas to Market,healthcar entrepreneurship take idea to marketadvancedstudententrepreneurship innov my own countri intellectu properti herbal ventur capit market econom intellectu healthcar manag translat research life-sci public-health4.824,4.8,Advanced,Student,24,"Commercialization of innovation activity results,Evaluating the Quality of Healthcare Delivery,Severe to Profound Intellectual Disability Circles of Care and Education,Healthcare Organizations and the Health System,A Guide to Healthcare Innovation Principles and Practice,Business Process Management in Healthcare Organizations"
3303,Classical Sociological Theory,classic sociolog theorybeginnerstudentlaw psycholog verstehen suicid alien philosophi sociolog religion anthropolog critic think social-sci governance-and-society4.824,4.8,Beginner,Student,24,"The Social Context of Mental Health and Illness,Moral Foundations of Politics,Sports and Society,Cities are back in town  sociologie urbaine pour un monde globalis�,Buddhism and Modern Psychology,Jewish Diaspora in Modern China"
3450,Networking and Security Architecture with VMware NSX,network and secur architectur with vmware nsxintermediatestudentnetwork administr solut architect oper transform solut architectur control plane cisco cloud comput hypervisor manag plane data center information-technolog networking4.824,4.8,Intermediate,Student,24,"Introduction to Cloud Identity,Systems and Application Security,IBM Cybersecurity Analyst Assessment,Cloud Systems Software,Hybrid Cloud Infrastructure Foundations with Anthos,Cyber Threats and Attack Vectors"
3489,Grow to Greatness Smart Growth for Private Businesses Part II,grow to great smart growth for privat busi part iiintermediateprofessionalemploy leadership order pair entrepreneurship util peopl manag employe engag strategi measur leadership and manag busi business-strategy4.824,4.8,Intermediate,Professional,24,"Entrepreneurial Strategic Management,Grow to Greatness Smart Growth for Private Businesses Part I,Managing the Company of the Future,Change Leadership Developing Strategic Gap Analysis in Miro,Digital Transformations,Design-Led Strategy Design thinking for business strategy and entrepreneurship"
1794,Introduction to Advanced Vibrations,introduct to advanc vibrationsbeginnerstudentmateri model degre of freedom beam robot behavior lectur analysi pressur sensor weld order pair physical-science-and-engin mechanical-engineering4.823,4.8,Beginner,Student,23,"Applications in Engineering Mechanics,Mechanics of Materials III Beam Bending,Introduction to Biomedical Engineering,Introduction to Engineering Mechanics,Sensors and Sensor Circuit Design,Advanced Engineering Systems in Motion Dynamics of Three Dimensional (3D) Motion"
1795,Sales Training Inbound Business Strategy,sale train inbound busi strategyadvancedstudentprospect busi strategi lead qualif strategi market hubspot sale consum behaviour revenu inbound market busi business-strategy4.823,4.8,Advanced,Student,23,"Business Strategies for Emerging Markets,Business Strategy in Practice (Project-centered Course),Entrepreneurship Capstone,Effective Sales � An Overview,International Business I,Business Strategy Business Model Canvas Analysis with Miro"
2461,Introduction to Contemporary Geopolitics,introduct to contemporari geopoliticsadvancedstudentrussian scholar phenomenon polit scienc intern relat analysi histori global chines languag entri point social-sci governance-and-society4.823,4.8,Advanced,Student,23,"Understanding International Relations Theory,Geopolitics of Europe,Chinese Politics Part 2 � China and the World,Global Diplomacy the United Nations in the World,Global Arctic,Jewish Diaspora in Modern China"
2528,Business Opportunities and Risks in a Globalized Economy,busi opportun and risk in a global economybeginnerprofessionaleconom intern devalu economi balanc of payment intern monetari polici risk govern debt india govern budget balanc social-sci economics4.823,4.8,Beginner,Professional,23,"The Power of Macroeconomics Economic Principles in the Real World,Understanding economic policymaking,Strategic Business Management - Macroeconomics,Trade Immigration and Exchange Rates in a Globalized World,After the Arab Spring � Democratic Aspirations and State Failure,Understanding the Australian economy An introduction to macroeconomic and financial policies"
2544,Introduction to CSS3,introduct to css3beginnerprofessionalstyl sheet css box model html and css model web design web develop css style sheet web develop web html computer-sci mobile-and-web-development4.823,4.8,Beginner,Professional,23,"HTML and CSS Building a Single-Page Website,Responsive Website Basics Code with HTML CSS and JavaScript,Introduction to Web Development,Build Your Portfolio Website with HTML and CSS,Programming Foundations with JavaScript HTML and CSS,Introduction to CSS in Web Development"
3052,Firm Level Economics Consumer and Producer Behavior,firm level econom consum and produc behavioradvancedprofessionalconsum behaviour demand suppli and demand analysi econom microeconom cost suppli chain market econom econom analysi busi finance4.823,4.8,Advanced,Professional,23,"Microeconomics Principles,The Power of Microeconomics Economic Principles in the Real World,Firm Level Economics Markets and Allocations,Country Level Economics Macroeconomic Variables and Markets,Managerial Economics and Business Analysis Capstone,Key Success Factors in Supply Chain Finance"
3163,The History of Modern Israel - Part II Challenges of Israel as a sovereign state,the histori of modern israel - part ii challeng of israel as a sovereign stateintermediateprofessionalhistori collect ident israel middl east evalu holocaust econom war diplomat number spreadsheet arts-and-human history4.823,4.8,Intermediate,Professional,23,"The History of Modern Israel � Part I From an Idea to a State,The Fall and Rise of Jerusalem,Arch of Titus Rome and the Menorah,The Emergence of the Modern Middle East - Part I,The Talmud A Methodological Introduction,Israel State and Society"
1898,Game Development for Modern Platforms,game develop for modern platformsadvancedprofessionalunr engin uniti user interfac game program comput program game design level design user interfac interfac android develop video game develop computer-sci software-development4.822,4.8,Advanced,Professional,22,"Introduction to Game Development,Game Design and Development Capstone,C# Programming for Unity Game Development Capstone Project,Game Design Document Define the Art & Concepts,Create Your First Game with Python,Principles of Game Design"
2022,Inclusive Online Teaching Teach-Out,inclus onlin teach teach-outnot calibratedstudentstrategi disabl studi cognit bia teach physic experi machin learn pedagogi english languag onlin machin learn onlin learn social-sci education4.822,4.8,Not Calibrated,Student,22,"Learning to Teach Online,Get Interactive Practical Teaching with Technology,Learning Technologies Foundations and Applications,Foundations of Virtual Instruction,Creating Interactive Learning Videos with Edpuzzle,e-Learning Ecologies Innovative Approaches to Teaching and Learning for the Digital Age"
2389,The Neuromarketing Toolbox,the neuromarket toolboxbeginnerprofessionalpercept experi neuromarket heart rate anatomi eye track arous scan consum behaviour heart rate variabl busi marketing4.822,4.8,Beginner,Professional,22,"Interest Rate Models,The Power of Markets I The Basics of Supply and Demand and Consumer Behavior,Everyday Excel Part 2,Myocardial Infarction,International Business Capstone,Sustainable Business Enterprises"
2510,Electrodynamics In-depth Solutions for Maxwell�s Equations,electrodynam in-depth solut for maxwell� equationsbeginnerprofessionalenergi electr engin lectur physic f.lux sourc full configur interact chemistri window metafil chemic engin physical-science-and-engin electrical-engineering4.822,4.8,Beginner,Professional,22,"Electrodynamics Electric and Magnetic Fields,Ferrous Technology II,Electrodynamics Analysis of Electric Fields,Engineering Systems in Motion Dynamics of Particles and Bodies in 2D Motion,Plastic electronics,Nanotechnology and Nanosensors Part 2"
2625,The Blues Understanding and Performing an American Art Form,the blue understand and perform an american art formintermediatestudentcal and respons art jazz improvis scale jazz harmoni gauss markov theorem music piano chord arts-and-human music-and-art4.822,4.8,Intermediate,Student,22,"Jazz Improvisation,Guitar Scales and Chord Progressions,The American South Its Stories Music and Art,Fundamentals of Music Theory,Approaching Music Theory Melodic Forms and Simple Harmony,Getting Started With Music Theory"
2677,Algorithms Part I,algorithm part ibeginnerprofessionaldata structur java program search tree java softwar platform sort algorithm algorithm algorithm comput program sort prioriti queue computer-sci algorithms4.822,4.8,Beginner,Professional,22,"Algorithms Part II,Object Oriented Programming in Java,Object Oriented Programming in Java,Java Programming Principles of Software Design,Data Structures and Performance,Data Structures and Performance"
2915,Engineering Health Introduction to Yoga and Physiology,engin health introduct to yoga and physiologybeginnerstudentmedit physiolog mind postur stress manag musculoskelet system exercis stress muscl contract lymphat system life-sci basic-science4.822,4.8,Beginner,Student,22,"Positive Psychiatry and Mental Health,Mind Control Managing Your Mental Health During COVID-19,Weight Management Beyond Balancing Calories,Biohacking Your Brain's Health,Introduction to Reproduction,Science of Exercise"
2977,Risk in Modern Society,risk in modern societyintermediateprofessionalnatur hazard percept secur manag risk manag safeti conceptu inform scienc criminolog terror risk hazard social-sci governance-and-society4.822,4.8,Intermediate,Professional,22,"International Security Management,Risk governance Engage the board,Investment Risk Management,Homeland Security and Cybersecurity Future,Financial Risk Management with R,Cybersecurity Policy for Aviation and Internet Infrastructures"
3284,European Business Law Understanding the Fundamentals,european busi law understand the fundamentalsintermediatestudentregulatori affair corpor law legal research busi law law foreign polici databas legal databas tax law principl busi business-essentials4.822,4.8,Intermediate,Student,22,"European Business Law Competing in Europe,Corporate & Commercial Law I Contracts & Employment Law,European Business Law Doing Business in Europe,Corporate & Commercial Law II Business Forms Financing & Governmental Regulation,A Law Student's Toolkit,Russian company law. Capital & Financing of legal entities"
3425,Studying at Japanese Universities,studi at japanes universitiesbeginnerstudenteduc plan japanes languag order pair human learn doubt self-motiv english languag term time cost personal-develop personal-development4.822,4.8,Beginner,Student,22,"Japanese for beginners 1,Japanese for beginners 2,Spanish Vocabulary Careers and Social Events,Lesson | Get Ready for the Interview,Think Again I How to Understand Arguments,Miracles of Human Language An Introduction to Linguistics"
1578,Geospatial Analysis Project,geospati analysi projectadvancedprofessionalgeograph inform system remot sens analysi geospati analysi geoprocess map spatial analysi arcgi cartographi data analysi data-sci data-analysis4.821,4.8,Advanced,Professional,21,"Exploratory Data Analysis With Python and Pandas,Spatial Data Science and Applications,Data Analysis with Python,Data Analysis with Python,Data Analysis with Python,GIS Data Formats Design and Quality"
2178,Data Structures and Performance,data structur and performancebeginnerstudentjava softwar platform algorithm data structur hash trie comput program binari tree hash tabl java program link list computer-sci algorithms4.821,4.8,Beginner,Student,21,"Data Structures and Performance,Algorithms Part II,Java Programming Arrays Lists and Structured Data,Java Programming Arrays Lists and Structured Data,Python Data Structures,Algorithms Part I"
2446,Planning for your G Suite Deployment,plan for your g suit deploymentbeginnerstudentproject plan web web browser latex provis chang manag smooth failur euler' totient function computer-sci computer-security-and-networks4.821,4.8,Beginner,Student,21,"Web Application Security Testing with OWASP ZAP,Web Application Security Testing with Burp Suite,Build Your First React Website (Part II),Build Your First React Website,Images and Links in HTML,Introduction to Front-end Development with ReactJS"
2535,The Science of Training Young Athletes,the scienc of train young athletesbeginnerprofessionaladolesc train train program perform puberti sport youth endur earli childhood coach personal-develop personal-development4.821,4.8,Beginner,Professional,21,"Science of Training Young Athletes Part 2,How to Get Skilled Introduction to Individual Skills Management (Project-Centered Course),Introduction to Learning Transfer and Life Long Learning (3L),Practical Guide to Navigating Professional Relationships,Achieving Your Optimal Performance,The Arts and Science of Relationships Understanding Human Needs"
2863,LGBTQ Pride From Origins to Evolution Teach-Out,lgbtq pride from origin to evolut teach-outbeginnerstudentwhit pride averag pride stonewal autoethnographi histori listen gay pride empathi psycholog arts-and-human philosophy4.821,4.8,Beginner,Student,21,"Heritage under Threat,Disinformation Misinformation and Fake News Teach-Out,Reasoning Across the Disciplines,The People Power and Pride of Public Health,Emotions a Philosophical Introduction,Russian History from Lenin to Putin"
2952,Writing and Editing Drafting,write and edit draftingbeginnerprofessionalprincipl choic proofread plan comfort edit temptat write first draft of a report on the edvac journal personal-develop personal-development4.821,4.8,Beginner,Professional,21,"Writing and Editing Revising,Writing and Editing Word Choice and Word Order,Writing and Editing Structure and Organization,Speaking to Inspire Ceremonial and Motivational Speeches,Engaging in Persuasive and Credible Communication,Writing a Personal Essay"
3085,Exploratory Data Analysis with MATLAB,exploratori data analysi with matlabbeginnerprofessionalcategor data c file input/output data type data visual data analysi exploratori data analysi analysi correl and depend summari statist matlab data-sci data-analysis4.821,4.8,Beginner,Professional,21,"Exploratory Data Analysis,Exploratory Data Analysis,Exploratory Data Analysis,Introduction to Data Analytics,Mining Data to Extract and Visualize Insights in Python,Exploratory Data Analysis With Python and Pandas"
3130,Corporate Strategy,corpor strategyintermediatestudentdivest corpor headquart busi strategi merger & acquisit chief execut offic leadership and manag corpor bond strategi market strateg manag busi business-strategy4.821,4.8,Intermediate,Student,21,"Corporate Strategy,Sustainable Vikings Sustainability & Corporate Social Responsibility in Scandinavia,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Global sustainability and corporate social responsibility Be sustainable,Business Strategy,Designing the Organization"
